track_id,error_category,axes,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_F,default_CMLt,default_AMLt,delta_F,F_lam1,F_lam2,F_lam5,F_lam10,F_lam20,F_lam30,F_lam50,F_lam75,F_lam100,F_lam150,F_lam200,F_lam300,F_lam500
smc_011,continuity_drift,Weak beat cues;Tempo instability,10,0.8035714285714285,0.5737704918032787,0.5737704918032787,0.7476635514018691,0.625,0.625,0.05590787716955936,0.7522935779816514,0.7522935779816514,0.7889908256880734,0.8035714285714285,0.8035714285714285,0.8035714285714285,0.7476635514018691,0.7476635514018691,0.7476635514018691,0.7476635514018691,0.7476635514018691,0.7289719626168223,0.7102803738317757
smc_012,continuity_drift,Tempo instability;Metrical ambiguity,2,0.5686274509803921,0.6470588235294118,0.6470588235294118,0.5686274509803921,0.7058823529411765,0.7058823529411765,0.0,0.5490196078431373,0.5686274509803921,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5098039215686274,0.5686274509803921,0.5686274509803921,0.49019607843137253,0.49019607843137253,0.49019607843137253,0.43137254901960786
smc_013,good,Weak beat cues,500,0.9464285714285714,1.0,1.0,0.912280701754386,0.9137931034482759,0.9137931034482759,0.03414786967418537,0.9272727272727271,0.9272727272727271,0.9272727272727271,0.9272727272727271,0.9272727272727271,0.9272727272727271,0.9272727272727271,0.9454545454545454,0.912280701754386,0.8947368421052632,0.8947368421052632,0.8771929824561403,0.9464285714285714
smc_014,other,Weak beat cues;Tempo instability,150,0.8888888888888888,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9111111111111111,0.9111111111111111,0.022222222222222143,0.8045977011494253,0.8045977011494253,0.8505747126436781,0.8505747126436781,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8666666666666667,0.8444444444444444
smc_015,other,Tempo instability;Metrical ambiguity;Structural/context,10,0.43076923076923074,0.0,0.6363636363636364,0.3692307692307692,0.0,0.5,0.06153846153846154,0.40625,0.40625,0.4000000000000001,0.43076923076923074,0.4000000000000001,0.4000000000000001,0.3692307692307692,0.3692307692307692,0.3692307692307692,0.3142857142857143,0.29411764705882354,0.2985074626865672,0.2985074626865672
smc_016,other,Tempo instability;Structural/context,200,0.8395061728395061,0.975609756097561,0.975609756097561,0.8148148148148149,0.975609756097561,0.975609756097561,0.024691358024691246,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.8395061728395061,0.8395061728395061,0.8395061728395061
smc_017,good,Weak beat cues;Metrical ambiguity;Structural/context,75,0.8809523809523809,0.9761904761904762,0.9761904761904762,0.8571428571428571,0.9761904761904762,0.9761904761904762,0.023809523809523836,0.7619047619047619,0.7619047619047619,0.7804878048780488,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8809523809523809,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
smc_018,other,Tempo instability;Metrical ambiguity,200,0.42857142857142855,0.4897959183673469,0.4897959183673469,0.24444444444444444,0.16326530612244897,0.22916666666666666,0.1841269841269841,0.30107526881720426,0.30107526881720426,0.31111111111111117,0.2888888888888889,0.26666666666666666,0.26666666666666666,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.32653061224489793,0.42857142857142855,0.3877551020408163,0.3030303030303031
smc_019,good,Weak beat cues;Tempo instability,1,0.7333333333333334,0.32432432432432434,0.4666666666666667,0.6285714285714286,0.0,0.9574468085106383,0.10476190476190483,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.6567164179104478,0.6666666666666667,0.6666666666666667,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6,0.6,0.5915492957746479
smc_021,other,Weak beat cues;Tempo instability;Structural/context,50,0.58,0.5849056603773585,0.5849056603773585,0.5454545454545455,0.5964912280701754,0.5964912280701754,0.034545454545454435,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.5242718446601942,0.5384615384615384,0.5384615384615384,0.58,0.5686274509803921,0.5454545454545455,0.5454545454545455,0.5272727272727273,0.5272727272727273,0.5454545454545455
smc_022,good,Tempo instability;Structural/context,1,0.9135802469135803,0.7441860465116279,0.7441860465116279,0.8421052631578947,0.7105263157894737,0.7105263157894737,0.07147498375568562,0.9135802469135803,0.9135802469135803,0.9135802469135803,0.9135802469135803,0.8641975308641974,0.8641975308641974,0.8500000000000001,0.9113924050632912,0.8421052631578947,0.8157894736842104,0.8157894736842104,0.7631578947368421,0.6578947368421053
smc_023,other,Weak beat cues;Tempo instability;Metrical ambiguity;Structural/context,1,0.634920634920635,0.0,0.8333333333333334,0.6031746031746031,0.0,0.8571428571428571,0.031746031746031855,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.634920634920635,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.5714285714285714
smc_024,other,Tempo instability;Metrical ambiguity,2,0.7727272727272727,0.38666666666666666,0.38666666666666666,0.6666666666666667,0.18666666666666668,0.4222222222222222,0.10606060606060597,0.734375,0.7727272727272727,0.7575757575757576,0.7559055118110237,0.6949152542372881,0.6949152542372881,0.6949152542372881,0.6610169491525424,0.6666666666666667,0.6666666666666667,0.6290322580645161,0.6129032258064516,0.5826771653543308
smc_026,continuity_drift,Weak beat cues;Tempo instability,1,0.7457627118644068,0.9333333333333333,0.9333333333333333,0.7457627118644068,0.9333333333333333,0.9333333333333333,0.0,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068,0.7457627118644068
smc_027,other,Weak beat cues;Tempo instability;Structural/context,200,0.8108108108108109,0.972972972972973,0.972972972972973,0.6265060240963856,0.5217391304347826,0.5217391304347826,0.1843047867144253,0.5052631578947369,0.5052631578947369,0.5263157894736842,0.5494505494505494,0.5301204819277109,0.5783132530120482,0.6265060240963856,0.6265060240963856,0.6265060240963856,0.7567567567567567,0.8108108108108109,0.8108108108108109,0.7837837837837838
smc_028,octave_error,Tempo instability;Metrical ambiguity,75,0.4680851063829787,0.03225806451612903,0.625,0.4680851063829787,0.03225806451612903,0.625,0.0,0.3829787234042554,0.3829787234042554,0.3829787234042554,0.425531914893617,0.425531914893617,0.425531914893617,0.44680851063829785,0.4680851063829787,0.4680851063829787,0.44680851063829785,0.3829787234042554,0.3829787234042554,0.2765957446808511
smc_030,good,Weak beat cues;Tempo instability;Metrical ambiguity;Structural/context,1,0.9527896995708154,0.8547008547008547,0.8547008547008547,0.9527896995708154,0.8632478632478633,0.8632478632478633,0.0,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154,0.9527896995708154
smc_032,other,Weak beat cues;Tempo instability;Metrical ambiguity;Structural/context,2,0.6185567010309277,0.5,0.5,0.5576923076923077,0.35185185185185186,0.35185185185185186,0.06086439333862004,0.5376344086021506,0.6185567010309277,0.6185567010309277,0.5567010309278351,0.5360824742268042,0.5360824742268042,0.5154639175257731,0.5154639175257731,0.5576923076923077,0.588235294117647,0.588235294117647,0.5423728813559322,0.5423728813559322
