track_id,error_category,gt_bpm,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_lambda_F,default_lambda_CMLt,default_lambda_AMLt
smc_168,octave_error,34.03,5,0.5263,0.9474,0.9474,0.4737,0.9474,0.9474
smc_169,other,169.97,30,0.8657,0.7115,0.7115,0.77,0.6699,0.6699
smc_170,good,73.53,75,0.907,1.0,1.0,0.907,1.0,1.0
smc_171,octave_error,52.63,75,0.7667,1.0,1.0,0.7667,1.0,1.0
smc_172,other,76.92,5,0.4444,0.5217,0.5217,0.3516,0.4255,0.4255
smc_173,octave_error,40.98,1,0.0,0.0,0.7917,0.0,0.0,0.9583
smc_174,total_failure,81.69,500,0.3516,0.3043,0.3043,0.1978,0.2826,0.2826
smc_175,other,35.64,1,0.3158,0.45,0.45,0.2632,0.45,0.45
smc_176,other,80.7,50,0.6222,0.7333,0.7333,0.4889,0.6444,0.6444
smc_178,good,36.92,150,0.7619,1.0,1.0,0.7143,1.0,1.0
smc_179,other,41.67,1,0.4348,0.56,0.56,0.1702,0.0769,0.4231
smc_181,other,61.66,1,0.087,0.0,0.6944,0.0,0.0286,0.0857
smc_182,good,71.34,1,0.8049,1.0,1.0,0.7805,1.0,1.0
smc_184,good,60.74,1,0.8696,0.9429,0.9429,0.8406,0.9714,0.9714
smc_187,continuity_drift,32.71,100,0.6316,1.0,1.0,0.6316,1.0,1.0
smc_188,good,47.85,1,0.9643,1.0,1.0,0.9643,1.0,1.0
smc_190,other,55.56,20,0.5806,0.6875,0.6875,0.5161,0.75,0.75
smc_192,other,32.91,1,0.25,0.5556,0.5556,0.125,0.2778,0.2941
smc_193,good,72.43,1,0.8706,0.907,0.907,0.8471,0.907,0.907
smc_194,total_failure,58.06,75,0.1194,0.1429,0.2941,0.1194,0.1429,0.2941
smc_195,other,174.52,1,0.4741,0.27,0.27,0.4593,0.28,0.28
smc_197,octave_error,36.72,1,0.5238,1.0,1.0,0.4286,1.0,1.0
smc_198,other,100.0,1,0.7339,0.678,0.678,0.7091,0.6833,0.6833
smc_199,other,76.43,1,0.4337,0.5814,0.5814,0.2716,0.3171,0.3171
smc_202,total_failure,55.66,30,0.254,0.3438,0.3438,0.125,0.3438,0.3438
smc_203,total_failure,68.76,300,0.1795,0.4615,0.4615,0.1026,0.3077,0.3077
smc_204,other,98.93,50,0.3214,0.2414,0.2414,0.1284,0.0545,0.3636
smc_205,good,78.74,1,0.8636,0.8043,0.8043,0.8409,0.8043,0.8043
smc_206,other,71.77,1,0.6216,0.55,0.55,0.5,0.5,0.5
smc_207,good,113.72,1,0.9552,1.0,1.0,0.9552,1.0,1.0
smc_208,good,54.52,150,0.7742,0.9677,0.9677,0.7419,1.0,1.0
smc_209,continuity_drift,72.99,1,0.5783,0.7674,0.7674,0.506,0.7442,0.7442
smc_211,other,83.74,500,0.6392,0.8163,0.8163,0.5833,0.6735,0.6735
smc_212,continuity_drift,40.54,75,0.4783,0.625,0.625,0.4783,0.625,0.625
smc_213,continuity_drift,65.42,1,0.56,0.7895,0.7895,0.56,0.7895,0.7895
smc_214,continuity_drift,45.8,10,0.4167,0.625,0.625,0.3673,0.44,0.44
smc_215,good,57.31,200,0.8182,0.9091,0.9091,0.7576,0.9394,0.9394
smc_216,continuity_drift,62.21,2,0.6667,0.6944,0.6944,0.6027,0.6757,0.6757
smc_217,other,53.81,30,0.8387,1.0,1.0,0.8387,1.0,1.0
smc_219,good,91.25,30,0.6408,0.5926,0.5926,0.5098,0.4717,0.4717
smc_220,continuity_drift,72.2,10,0.9048,0.9762,0.9762,0.9048,1.0,1.0
smc_221,continuity_drift,52.49,5,0.4407,0.4667,0.4667,0.339,0.5,0.5
smc_222,other,48.64,150,0.566,0.75,0.75,0.5185,0.6552,0.6552
smc_223,continuity_drift,60.42,50,0.7143,0.6757,0.6757,0.6087,0.6389,0.6389
smc_224,continuity_drift,63.36,1,0.4054,0.6757,0.6757,0.3117,0.525,0.525
smc_225,other,44.64,1,0.2,0.16,0.16,0.0,0.0,0.4231
smc_226,continuity_drift,55.68,75,0.6462,0.9697,0.9697,0.6462,0.9697,0.9697
smc_227,other,64.79,50,0.5753,0.6053,0.6053,0.5205,0.6316,0.6316
smc_229,good,75.0,30,0.9318,1.0,1.0,0.9318,1.0,1.0
smc_232,continuity_drift,149.91,2,0.6065,0.2967,0.2967,0.4681,0.1818,0.1818
smc_235,continuity_drift,64.52,1,0.6133,0.5897,0.5897,0.5067,0.6667,0.6667
smc_236,other,63.59,100,0.7463,0.6667,0.6667,0.7463,0.6667,0.6667
smc_237,continuity_drift,64.59,1,0.4533,0.7632,0.7632,0.4267,0.6842,0.6842
smc_239,other,48.23,100,0.3214,0.3571,0.3571,0.3214,0.3571,0.3571
smc_241,octave_error,75.38,150,0.4186,0.7907,0.7907,0.3488,0.7907,0.7907
smc_242,continuity_drift,78.95,300,0.8222,0.9333,0.9333,0.7556,0.9333,0.9333
smc_243,good,51.19,500,0.6667,0.8,0.8,0.6429,0.7931,0.7931
smc_244,other,109.69,2,0.375,0.2769,0.2769,0.2969,0.3385,0.3385
smc_248,other,97.24,200,0.6,0.5172,0.5172,0.5455,0.5345,0.5345
smc_249,good,68.7,1,0.88,0.8718,0.8718,0.88,0.8718,0.8718
smc_251,good,116.17,10,0.9008,0.9403,0.9403,0.9008,0.9552,0.9552
smc_252,good,92.74,1,0.9444,1.0,1.0,0.9444,1.0,1.0
smc_253,other,65.62,1,0.6154,0.7692,0.7692,0.5455,0.6923,0.6923
smc_254,total_failure,99.34,75,0.367,0.3509,0.3509,0.367,0.3509,0.3509
smc_255,continuity_drift,63.91,100,0.8649,0.8919,0.8919,0.8649,0.8919,0.8919
smc_256,other,67.87,50,0.6842,0.575,0.575,0.5526,0.6,0.6
smc_257,other,155.24,100,0.6941,0.4118,0.4118,0.6941,0.4118,0.4118
smc_258,other,88.89,30,0.463,0.4643,0.4643,0.3119,0.3333,0.3333
smc_259,other,80.21,1,0.5507,0.4884,0.4884,0.5217,0.4884,0.4884
smc_260,good,101.33,1,0.8073,0.7143,0.7143,0.6972,0.5714,0.5714
smc_261,continuity_drift,70.59,50,0.4675,0.5122,0.5122,0.425,0.4318,0.4318
smc_262,continuity_drift,112.36,30,0.875,0.8615,0.8615,0.7031,0.6615,0.6615
smc_263,continuity_drift,48.43,20,0.7719,0.931,0.931,0.7368,0.931,0.931
smc_264,other,72.8,10,0.6667,0.9524,0.9524,0.5714,0.8571,0.8571
smc_265,good,153.06,200,0.8605,0.75,0.75,0.8256,0.7727,0.7727
smc_266,continuity_drift,47.71,1,0.6316,0.7241,0.7241,0.386,0.5172,0.5172
smc_269,good,54.45,150,0.9355,1.0,1.0,0.8197,0.871,0.871
smc_271,good,103.18,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_272,other,206.9,300,0.971,0.9339,0.9339,0.9544,0.9421,0.9421
smc_273,good,95.71,1,1.0,1.0,1.0,1.0,1.0,1.0
smc_274,octave_error,142.86,1,0.0,0.0,0.988,0.0,0.0,0.988
smc_275,other,40.0,1,0.9565,1.0,1.0,0.9565,1.0,1.0
