track_id,F,CMLt,AMLt
smc_167,0.9047619047619048,1.0,1.0
smc_168,1.0,1.0,1.0
smc_169,0.8865979381443299,0.8556701030927835,0.8556701030927835
smc_170,1.0,1.0,1.0
smc_171,1.0,1.0,1.0
smc_172,0.9090909090909091,0.8863636363636364,0.8863636363636364
smc_173,1.0,1.0,1.0
smc_174,0.8260869565217391,0.8913043478260869,0.8913043478260869
smc_175,0.5555555555555556,0.5,0.5
smc_176,0.9777777777777777,1.0,1.0
smc_178,1.0,1.0,1.0
smc_179,0.8372093023255814,0.8181818181818182,0.8181818181818182
smc_181,0.9696969696969697,1.0,1.0
smc_182,1.0,1.0,1.0
smc_184,0.9117647058823528,1.0,1.0
smc_187,1.0,1.0,1.0
smc_188,1.0,1.0,1.0
smc_190,0.9491525423728815,0.9333333333333333,0.9333333333333333
smc_192,0.8648648648648649,0.8421052631578947,0.8421052631578947
smc_193,0.9767441860465116,1.0,1.0
smc_194,0.8285714285714286,0.9142857142857143,0.9142857142857143
smc_195,0.49295774647887325,0.32710280373831774,0.32710280373831774
smc_197,1.0,1.0,1.0
smc_198,0.6111111111111112,0.18,0.18
smc_199,0.775,0.8,0.8
smc_202,0.90625,1.0,1.0
smc_203,0.9743589743589743,1.0,1.0
smc_204,0.7962962962962963,0.7222222222222222,0.7222222222222222
smc_205,0.8860759493670887,0.7619047619047619,0.7619047619047619
smc_206,0.8767123287671232,0.8717948717948718,0.8717948717948718
smc_207,1.0,1.0,1.0
smc_208,0.9032258064516129,1.0,1.0
smc_209,0.9,1.0,1.0
smc_211,0.9795918367346939,1.0,1.0
smc_212,0.9166666666666666,1.0,1.0
smc_213,1.0,1.0,1.0
smc_214,0.9583333333333334,1.0,1.0
smc_215,0.8181818181818182,1.0,1.0
smc_216,0.9166666666666666,1.0,1.0
smc_217,1.0,1.0,1.0
smc_219,0.8775510204081631,0.9183673469387755,0.9183673469387755
smc_220,1.0,1.0,1.0
smc_221,0.8333333333333334,0.9666666666666667,0.9666666666666667
smc_222,0.8627450980392156,0.9230769230769231,0.9230769230769231
smc_223,0.8181818181818182,0.9696969696969697,0.9696969696969697
smc_224,1.0,1.0,1.0
smc_225,0.96,1.0,1.0
smc_226,0.96875,1.0,1.0
smc_227,0.9736842105263158,1.0,1.0
smc_229,1.0,1.0,1.0
smc_232,0.984375,0.984375,0.984375
smc_235,0.9166666666666666,0.9722222222222222,0.9722222222222222
smc_236,0.9032258064516129,0.9032258064516129,0.9032258064516129
smc_237,0.9473684210526315,1.0,1.0
smc_239,0.8928571428571429,1.0,1.0
smc_241,0.9767441860465116,1.0,1.0
smc_242,1.0,1.0,1.0
smc_243,0.9473684210526316,0.8333333333333334,0.8333333333333334
smc_244,0.9841269841269841,1.0,1.0
smc_248,0.9333333333333333,0.9245283018867925,0.9245283018867925
smc_249,0.9722222222222222,0.9444444444444444,0.9444444444444444
smc_251,0.9770992366412213,0.9552238805970149,0.9552238805970149
smc_252,1.0,1.0,1.0
