track_id,n_beats_orig,n_beats_clean,n_removed,n_inserted,orig_F,clean_F,delta_F,orig_CMLt,clean_CMLt,delta_CMLt,orig_AMLt,clean_AMLt
smc_064,60,60,1,1,0.0,0.0,0.0,0.0185,0.0,-0.0185,0.2222,0.2182
smc_065,49,49,0,0,0.9767,0.9767,0.0,1.0,1.0,0.0,1.0,1.0
smc_066,26,31,0,5,0.5306,0.5556,0.0249,0.6667,0.8889,0.2222,0.6667,0.8889
smc_067,58,58,0,0,0.8713,0.8713,0.0,0.9412,0.9412,0.0,0.9412,0.9412
smc_068,61,61,0,0,0.9245,0.9245,0.0,0.9811,0.9811,0.0,0.9811,0.9811
smc_069,58,62,0,4,0.8041,0.7879,-0.0162,0.898,0.8235,-0.0744,0.898,0.8235
smc_071,51,52,0,1,0.967,0.9783,0.0112,0.9565,1.0,0.0435,0.9565,1.0
smc_072,46,46,0,0,0.8861,0.8861,0.0,0.975,0.975,0.0,0.975,0.975
smc_073,46,47,0,1,0.8889,0.9024,0.0136,0.9512,1.0,0.0488,0.9512,1.0
smc_074,20,20,0,0,0.507,0.507,0.0,0.0,0.0,0.0,0.0,0.0
smc_075,45,51,0,6,0.5882,0.6154,0.0271,0.5957,0.7234,0.1277,0.5957,0.7234
smc_076,63,70,1,8,0.4646,0.4571,-0.0075,0.1346,0.1379,0.0033,0.1346,0.1379
smc_079,79,88,1,10,0.6971,0.7514,0.0542,0.1574,0.287,0.1296,0.5373,0.3973
smc_080,51,58,0,7,0.381,0.3429,-0.0381,0.0,0.0,0.0,0.25,0.2157
smc_082,69,72,0,3,0.9661,0.958,-0.0081,0.8852,0.8548,-0.0304,0.8852,0.8548
smc_084,6,5,1,0,0.0667,0.0,-0.0667,0.08,0.0,-0.08,0.08,0.0
smc_085,37,38,0,1,0.2812,0.2769,-0.0043,0.6562,0.6364,-0.0199,0.6562,0.6364
smc_086,46,46,0,0,0.875,0.875,0.0,0.75,0.75,0.0,0.75,0.75
smc_087,87,95,0,8,0.8088,0.7801,-0.0287,0.5789,0.4815,-0.0975,0.5789,0.4815
smc_088,44,45,0,1,0.5205,0.5405,0.02,0.5641,0.55,-0.0141,0.5641,0.55
smc_089,43,47,0,4,0.6047,0.6444,0.0398,0.4,0.56,0.16,0.4,0.56
smc_092,54,54,0,0,0.748,0.748,0.0,0.2973,0.2973,0.0,0.5306,0.5306
smc_093,78,78,1,1,0.7832,0.7832,0.0,0.6316,0.6579,0.0263,0.6316,0.6579
smc_095,52,54,0,2,0.8387,0.8421,0.0034,0.8723,0.9375,0.0652,0.8723,0.9375
smc_096,70,70,0,0,0.9839,0.9839,0.0,1.0,1.0,0.0,1.0,1.0
smc_098,94,102,0,8,0.7015,0.662,-0.0395,0.2235,0.1398,-0.0837,0.4639,0.567
smc_099,38,38,0,0,0.5455,0.5455,0.0,0.9091,0.9091,0.0,0.9091,0.9091
smc_100,66,73,2,9,0.4646,0.434,-0.0307,0.1935,0.0725,-0.1211,0.274,0.4384
smc_101,25,26,0,1,0.4938,0.4878,-0.006,0.0339,0.0169,-0.0169,0.1,0.1
smc_103,46,52,1,7,0.4301,0.404,-0.0261,0.1852,0.1852,0.0,0.1852,0.1852
smc_104,78,91,0,13,0.6355,0.6102,-0.0253,0.0588,0.0,-0.0588,0.7273,0.9114
smc_105,42,43,1,2,0.2569,0.2545,-0.0023,0.0,0.0,0.0,0.2703,0.2973
smc_106,80,81,0,1,0.3551,0.3519,-0.0033,0.0,0.0,0.0,0.5352,0.5278
smc_109,87,93,2,8,0.4068,0.3871,-0.0197,0.05,0.0,-0.05,0.1375,0.1977
smc_111,42,45,0,3,0.4706,0.4828,0.0122,0.1875,0.2292,0.0417,0.1875,0.2292
smc_113,56,58,0,2,0.5897,0.5897,0.0,0.0,0.0,0.0,0.0,0.0
smc_114,33,37,1,5,0.597,0.6,0.003,0.4474,0.5526,0.1053,0.4474,0.5526
smc_116,151,158,5,12,0.2674,0.2873,0.0199,0.0075,0.007,-0.0005,0.0075,0.007
smc_117,42,44,1,3,0.6479,0.6575,0.0096,0.6389,0.6579,0.019,0.6389,0.6579
smc_118,65,70,0,5,0.3077,0.2917,-0.016,0.1034,0.0476,-0.0558,0.1692,0.2308
smc_119,64,65,0,1,0.3908,0.3864,-0.0044,0.3273,0.3214,-0.0058,0.3273,0.3214
smc_120,59,59,0,0,0.972,0.972,0.0,0.9815,0.9815,0.0,0.9815,0.9815
smc_121,33,36,0,3,0.32,0.3019,-0.0181,0.3333,0.2121,-0.1212,0.3846,0.5385
smc_124,45,45,0,0,0.4935,0.4935,0.0,0.9231,0.9231,0.0,0.9231,0.9231
smc_126,42,43,0,1,0.9474,0.9474,0.0,0.9737,0.9737,0.0,0.9737,0.9737
smc_127,39,43,0,4,0.4923,0.4638,-0.0285,0.1471,0.1053,-0.0418,0.2295,0.2459
smc_130,50,50,1,1,0.4225,0.4225,0.0,0.1522,0.1739,0.0217,0.1522,0.1739
smc_133,44,44,0,0,0.7895,0.7895,0.0,0.9737,0.9737,0.0,0.9737,0.9737
smc_135,47,48,0,1,0.8409,0.8409,0.0,0.6739,0.6739,0.0,0.6739,0.6739
smc_137,96,99,0,3,0.8364,0.8313,-0.005,0.6667,0.6484,-0.0183,0.6667,0.6484
smc_139,57,60,0,3,0.507,0.4932,-0.0139,0.0417,0.0,-0.0417,0.8125,0.82
smc_140,62,67,0,5,0.6491,0.678,0.0288,0.55,0.6667,0.1167,0.55,0.6667
smc_142,38,42,0,4,0.6133,0.6835,0.0702,0.4884,0.6512,0.1628,0.4884,0.6512
smc_143,60,60,0,0,0.5385,0.5385,0.0,0.8462,0.8462,0.0,0.8462,0.8462
smc_146,36,38,0,2,0.6769,0.6567,-0.0202,0.8485,0.8235,-0.025,0.8485,0.8235
smc_147,91,101,0,10,0.705,0.6577,-0.0473,0.3827,0.2308,-0.1519,0.3827,0.3826
smc_148,14,17,0,3,0.1404,0.1667,0.0263,0.0,0.0465,0.0465,0.119,0.119
smc_149,119,120,1,2,0.4161,0.4161,0.0,0.0,0.0,0.0,0.3396,0.3396
smc_150,76,76,0,0,0.9697,0.9697,0.0,0.9118,0.9118,0.0,0.9118,0.9118
smc_151,54,69,0,15,0.6984,0.8058,0.1073,0.3117,0.5584,0.2468,0.3117,0.5584
smc_152,19,19,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
smc_153,68,74,0,6,0.313,0.314,0.001,0.1667,0.1515,-0.0152,0.5,0.5455
smc_154,37,38,2,3,0.4444,0.4444,0.0,0.1562,0.2812,0.125,0.1562,0.2812
smc_157,51,52,0,1,0.6591,0.6742,0.0151,0.9091,0.9333,0.0242,0.9091,0.9333
smc_158,38,50,0,12,0.2182,0.1791,-0.0391,0.0312,0.0227,-0.0085,0.0889,0.0889
smc_159,31,31,0,0,0.4444,0.4444,0.0,0.0,0.0,0.0,1.0,1.0
smc_161,39,40,0,1,0.6957,0.7143,0.0186,0.9429,0.9714,0.0286,0.9429,0.9714
smc_166,52,52,0,0,0.8478,0.8478,0.0,1.0,1.0,0.0,1.0,1.0
smc_167,28,30,0,2,0.5333,0.5333,0.0,0.7083,0.7083,0.0,0.7083,0.7083
smc_168,45,46,1,2,0.3,0.3,0.0,0.0244,0.0,-0.0244,0.6098,0.6585
smc_169,52,58,2,8,0.5616,0.5789,0.0173,0.1649,0.2165,0.0515,0.1649,0.2165
smc_170,49,49,0,0,0.8372,0.8372,0.0,1.0,1.0,0.0,1.0,1.0
smc_171,70,69,1,0,0.4946,0.5,0.0054,0.0,0.0,0.0,0.8254,0.8387
smc_172,78,83,5,10,0.5,0.4793,-0.0207,0.1806,0.1558,-0.0247,0.1806,0.1558
smc_173,57,57,0,0,0.5946,0.5946,0.0,0.0,0.0,0.0,0.92,0.92
smc_174,63,64,3,4,0.28,0.3168,0.0368,0.1852,0.2364,0.0512,0.1852,0.2364
smc_175,28,33,0,5,0.2381,0.2174,-0.0207,0.3333,0.2857,-0.0476,0.3333,0.2857
smc_176,29,29,2,2,0.3429,0.338,-0.0048,0.0889,0.0889,0.0,0.0889,0.0889
smc_178,24,24,0,0,0.8571,0.8571,0.0,1.0,1.0,0.0,1.0,1.0
