track_id,fold,gt_median_ibi,pred_median_ibi,acf_period,ibi_ratio,detected_error,orig_F,corrected_F,delta_F,subsample_F,interpolate_F,oracle_F,oracle_choice,orig_CMLt,orig_AMLt
smc_213,2,0.9172,0.94,0.94,1.0,correct,0.5278,0.5278,0.0,0.3273,0.3585,0.5278,original,0.7105,0.7105
smc_214,3,1.31,1.32,1.32,1.0,correct,0.4783,0.4783,0.0,0.2857,0.3235,0.4783,original,0.5417,0.5417
smc_215,6,1.047,1.02,1.0,1.02,correct,0.8788,0.8788,0.0,0.64,0.5918,0.8788,original,0.8788,0.8788
smc_216,5,0.9645,0.96,0.94,1.0213,correct,0.7324,0.7324,0.0,0.4906,0.4906,0.7324,original,0.8333,0.8333
smc_217,5,1.115,1.13,1.14,0.9912,correct,0.7742,0.7742,0.0,0.5652,0.5217,0.7742,original,1.0,1.0
smc_219,1,0.6575,0.64,0.64,1.0,correct,0.8077,0.8077,0.0,0.6053,0.5316,0.8077,original,0.7636,0.7636
smc_220,4,0.831,0.59,0.84,0.7024,correct,0.7835,0.7835,0.0,0.6087,0.5,0.7835,original,0.5455,0.5455
smc_221,6,1.143,1.12,1.14,0.9825,correct,0.4918,0.4918,0.0,0.4,0.3297,0.4918,original,0.5161,0.5161
smc_222,4,1.2335,1.12,1.22,0.918,correct,0.5625,0.5625,0.0,0.3636,0.3495,0.5625,original,0.4615,0.4615
smc_223,2,0.993,0.9,0.94,0.9574,correct,0.6849,0.6849,0.0,0.566,0.4821,0.6849,original,0.55,0.55
smc_224,6,0.947,0.92,0.94,0.9787,correct,0.35,0.35,0.0,0.2414,0.2459,0.35,original,0.5349,0.5349
smc_225,3,1.344,0.44,0.44,1.0,correct,0.3962,0.3962,0.0,0.3636,0.2246,0.3962,original,0.0,0.0
smc_226,6,1.0775,1.11,1.16,0.9569,correct,0.5075,0.5075,0.0,0.3265,0.3366,0.5075,original,0.6857,0.6857
smc_227,4,0.926,0.94,0.92,1.0217,correct,0.5634,0.5634,0.0,0.3636,0.4615,0.5634,original,0.6053,0.6053
smc_229,4,0.8,0.8,0.8,1.0,correct,0.9318,0.9318,0.0,0.6061,0.6212,0.9318,original,1.0,1.0
smc_232,2,0.4003,0.38,0.38,1.0,correct,0.7611,0.7611,0.0,0.4773,0.5432,0.7611,original,0.5156,0.5156
